Family,species,genus,host,frpara,sc,nbpop,occurrence,temp,rainfall
Indriidae,Avahi,laniger,Avahi_laniger,1,VU,,96126,27,5110
Indriidae,Avahi,occidentalis,Avahi_occidentalis,2,VU,,8619,32.5,1737.5
Cheirogaleidae,Cheirogaleus,major,Cheirogaleus_major,2,VU,,90900,23,1600
Cheirogaleidae,Cheirogaleus,medius,Cheirogaleus_medius,6,VU,,49307,23,1600
Daubentonidae,Daubentonia,madagascariensis,Daubentonia_madagascariensis,3,EN,,523499,27,5110
Lemuridae,Eulemur,albifrons,Eulemur_albifrons,1,VU,,49901,21.25,5110.26
Lemuridae,Eulemur,fulvus,Eulemur_fulvus,3,VU,,170182,26,1737.5
Lemuridae,Eulemur,flavifrons,Eulemur_macaco_flavifrons,1,CR,,4071,26,1600
Lemuridae,Eulemur,macaco,Eulemur_macaco_macaco,1,EN,,11732,27.5,275
Lemuridae,Eulemur,mongoz,Eulemur_mongoz,1,CR,,17953,,
Lemuridae,Eulemur,rubriventer,Eulemur_rubriventer,2,VU,,142826,18.2,260
Lemuridae,Eulemur,ruffifrons,Eulemur_rufus,3,VU,,138438,24.7,767
Lemuridae,Hapalemur,aureus,Hapalemur_aureus,1,CR,,4385,18.2,260
Lemuridae,Hapalemur,griseus,Hapalemur_griseus,2,VU,,265567,18,1700
Indriidae,Indri,indri,Indri_indri,3,CR,,61794,18,18
Lemuridae,Lemur,catta,Lemur_catta,10,EN,,115083,36,36
Lepilemuridae,Lepilemur,edwardsi,Lepilemur_edwardsi,3,EN,,10654,32.5,32.5
Lepilemuridae,Lepilemur,microdon,Lepilemur_microdon,1,EN,,159,18.2,18.2
Lepilemuridae,Lepilemur,ruficaudatus,Lepilemur_ruficaudatus,1,CR,,23325,24.7,24.7
Cheirogaleidae,Microcebus,berthae,Microcebus_berthae,3,CR,,809,24.7,24.7
Cheirogaleidae,Microcebus,murinus,Microcebus_murinus,14,LC,,358995,23,23
Cheirogaleidae,Microcebus,ravelobensis,Microcebus_ravelobensis,8,VU,,9486,32.5,32.5
Cheirogaleidae,Microcebus,rufus,Microcebus_rufus,2,VU,,5191,18.2,18.2
Cheirogaleidae,Mirza,coquereli,Mirza_coquereli,4,EN,,85975,24.7,767
Lemuridae,Prolemur,simus,Prolemur_simus,2,CR,,30552,18.2,260
Indriidae,Propithecus,coquereli,Propithecus_coquereli,1,CR,,27662,24.7,1737.5
Indriidae,Propithecus,diadema,Propithecus_diadema,1,CR,,44292,32.5,1742
Indriidae,Propithecus,edwardsi,Propithecus_edwardsi,7,EN,,1543,19,
Indriidae,Propithecus,tattersalli,Propithecus_tattersalli,1,CR,,1919,30,1445.2
Indriidae,Propithecus ,verreauxi,Propithecus_verreauxi,4,CR,,131892,24.7,767
Lemuridae,Varecia,rubra,Varecia_rubra,1,CR,,6423,21.25,5110.26
Lemuridae,Varecia,variegata,Varecia_variegata_variegata,4,CR,,99202,18.2,260
